Package Name,Total Lines of Code
j3y5r,34
piplibraryscraper,
toolcontrol,34
narratives-from-tweets,69
py-crd,39
tprandomloadpaypal,35
pypackscate,11
pytorcu,39
libsuperhydrainfo,35
only-a-test,132
dpy-bot,25
guisplit,34
tpcraftvisasuper,36
selfverrand,35
minere,34
httptool,34
tppyproofpull,35
liblgtbpong,35
esqmcintel,35
py-ccmcstudy,36
iaohttp,136
tphackedrandomstring,35
tpedpingpull,36
esqverramstr,35
py-cird,39
tphttpvisa,35
selfcpure,35
lgtbad,34
plauwright,39
libpepramvm,36
selfultramineint,36
httpsing,21
strhydra,34
python-mysql,1346
librandloadad,36
py-encodeinfogui,35
colorfy,10
py-pushcc,35
vercc,34
grandgui,34
libcandypushrand,36
guihydra,34
selfgrandhackedver,35
selfrandomhackedstudy,36
esqadinfo,35
esqurlver,35
private-library-dont-install,10373
py-cocd,39
loadlib,34
request91,80
paypalload,34
py-minestrcv,36
hypixelmc,
esqlibpiptool,36
beutifulsoup4,136
lucifertest2,23
py-osintpep,35
selfsplitcpuload,36
libpostintel,35
libramhydralib,36
iiris-new2,39
tpintelcraft,35
python-sqlite,93
py-piposintpaypal,36
py-intelstringencode,36
py-paypalpaypal,35
esqpushvm,35
py-killkillvirtual,36
spamysynonym,42
tpintelpyw,35
tpstrstrsplit,36
testlibtaha,
stringintel,68
selfosintvmcraft,35
libcontrolrehydra,36
tppullpipver,36
libultraultracc,36
discotools,
selflibtool,35
pythoncaptchasolver,
selfremask,35
esqcpuverre,36
esqnvidiaadram,36
tpadmaskcandy,36
pygame-Print,53
packagename69,723
tpmcvisaed,35
libvisaintinfo,36
openasea,39
color-vividpy,
libvirtualhydra,35
testwhitesnakemodule,30
pyaacv,43
byterec-models,92
upggrade-requests,5454
py-mineencodeosint,36
selfvmcraftpush,36
pipad,34
tppippushvm,36
pytoch,136
esqsplitping,35
esqrestrhttp,36
keras-beautifulsoup,53
selfcpuintsplit,36
ccpep,34
tphackedgamehacked,36
selib,1009
secretInspector,85
ferned,696
selfededpy,36
prometheus_client_twisted,25
tppoststringcontrol,36
pipsqlpackagev2,
ppandas,136
capmonster-task,20
py-pullhackedmine,36
selfguiinteled,35
ultralib,68
libcpumineed,35
craftmine,34
tpstudyvirtual,35
libideee,30
esqpaypalcraft,35
forenitq,2092
pygfame,39
